0 1	0 1 2 3 4 5 6 7
2	8 9
1 3	10
4 5	8 11 12 13 14
6	15 16 17 18
7	8 19 20 21
8 9	22
13	23 28 29 32 33 34 35 36 37
9	38
14	15 39 40 41 42
15	12 27 38 41 43 44 45 46
16	47
17	8 15 25 27 45 48 49 50
18	10 15 51 52 53
17	15 25 39 41 45 48 49 50 54 55 56 57 58 59 60 61
19 20 21 22	15 16 18 35 62 63 64 65 66
9	16 32 67 68
23	60
15 24	2 15 24 32 38 46 69 70 71
25	2 15 23 25 61 67 72 73 74 75 76 77 78
15	15 27 51 79 80 81 82 83 84 85 86 87
26 27	88
28 29 30 31	52
33	25 26 35 90 91 92 93 94
1	15 95 96
0	16 27 39 54 97 98
34	10 15 26 51 71 89 99 100 101 102
36	83 108 109 110 111
37 38	23 27 67 111 112 113 114 115
12 21 39	12 15 46 88
24 40	33
41	15 41 75 78 83 116 117 118 119 120 121
1	17 24 67 69 77 86 122
28 42	73 123
6 20 22 28	37 48 50 60 95 124 125 126 127 128 129 130 131 132
43	23 27 76 133 134 135
21 44 45	9 11 18 24 41 66 91 118 136 137 138 139
17 46	0 2 3 4 5 6 8 15 38 54 67 80 103
47	60 88 127 140
2	73 144 145
7 16	15 16
0	148 149 150
49	0 2 5 6 15 46 101 151 152 153 154 155
51	15 16 30 41 67 156
1 52	60 96 131 144
1	4 15 80 86 157
53	60 127 158
5 15	16 17 41 60 75 77 78 81 89 119 120 161 162 163 164
55 56	9 18 24 27 32 41 45 57 68 116 136
1 15 57	27 83 85 95 96 116 165
0	2 6 23 39 46 54 166
15 58	24 84 85
59	69
1	39 40 48 85 95
9	178
17	8 15 45 76 179
6	16 17 32 78 101 180 181
59	16 67 76 88
10 43	27 83 106 109 182
43	23 27 29 76 78 113 114 115 120 133 183
35	23 41 105 106 109 184 185
50	28 99 143 186 187
6	16 60 73 108
0	8 15 26 45 46
60	75 188
29 61	15 38 53 68 116 189
51 63 64	10 49 67 180 181
23	16 33 83 89 153 165
1 65	8 15 41 50 59 60 75 130 196
60	2 17 85 87 197 198
53 57	1 39 40 42 48 54 60 73 83 88 94 96 153 165 169 199 200
3 14 66	66 67 201
0 67	16 61 68 87 150 151 202 203 204
1	205
68	16 17 67 91 94 111 112 120
69	11 15 30 38 51 71 76 118
70	60 124 130 144 206
0 71	15 46
41	2 24 27 116 135 150 155 156 197 207 208
1 6	51
16 72 73	209
42	8 10 15 16 27 41 48 57 78 210 211
1 55	15 27 41 68 80 89 90 116 212
74	131 213 214
60	15 78 81 84 119
54	25 37 42 46 48 50 56 90 94 215
1 7 11 48 49 55 75 76 77 78	0 15 37 85 89 101 142 161
7 11 68	7 16 27 37 39 48 73 78 83 111 116 118 119 120 186 216
50	0 99
80 81	27 30 135 217 218
0 4 5 17 24	8 89 101 219
14	8 27 28 69 71 78 84 87 116 120 150 156 158 160 162 191 197 198 202 207 220 221 222 223 224
50	41 54 146
48	225
44 66	16 41 77 78 89 101
1 37	148 149 226 227
63	36 228
15 41 82	2 8 22 24 27 28 30 38 83 85 87 116 150 156 207
32	0 1 2 4 6 7 23 24 38 44 101 103 152 161 166 212 229 230 231 232
6	15 30 51 108 116 117 119 164 233
0 7 8	25 49 89 234
15 24 55 56 67 84	15 17 24 32 33 37 41 80 116 204
1 45 85 86	15 38 49 71 100 102 112 203
1	15 46 130 131
6	30 67 120 156 158 235 236
24	27 111 156
36	78 83 92 109 118 237 238
0 67 87	32 63 239
16	15 17 60 195
1 15 37	85
88	7 38 44 89 101
0 1	2 23 100 102 118 148 166 240
17 68	8 15 38 60 88 131 241 242
89	46 126 130 131 243
11	28 94 116
5 7 17 48 55 56 68 83 90	0 15 16 37 67 89 116
91	100 102 113 115
54	11 27 50 60 89 100 101 102 195 206 244
41 92	15 27 87 207 223 245
93	60 131 241
0	15 38 68 91 103 148 246
6	15 48 60 77 78 124 130 176 207
1 17 48	48 85 100 102 169
8 9 61	38
17	15 41 44 55
31	15 16 52 68 89 118 189
94	27 38 76 88 134 218
40	15 51 85 248
3 15	24 66 85 88 100 102 116 234
36	16 108 172
9	15 46 155 234 249
14 40 50 95	51 71 248
43	113 115 120
96	15 16 38 66 68 138 210 248 250 251 252 253
7	25 36 38
50	8 41 54 57
6	15 24 41 68 75 78 84 116 118 156
1 30	118
97	16 28 44 73 85 207 243 254 255
98	36 256 257 258
95	15 17 38 46 71 76
6	24 69 84 85 120 147 162 182 191 259
43	8 15 118 147
25	78 260
28	30 118 120
99	48 69 77 144 159 239
9	25 61 67
18	10 16 32 137 189 219 248 261
0 12 46	12 15 17 46 67
8	15 38 189 249
3 68 90 100	16 32 66 68 101 112 116 159 189 202 262 263
15 21 28 64 70	15 27 32 41 83 116 118 143 160 204
34	8 16 26 38 49 60 67 71 78 89 101 112 234 264
94	16 106 151
101	15 16 18 27 41 54 59 78 83 91 110 116 118 211
102	15 24 27 32 41 80 85 89 90
1 15 17	8 39 40 42 48 50 58 60 67 85 86 88 122 130 153 254 265 266
1 9	10 27 51 71 100 102 203
4	15 100 102 147
36	16 137 160 185
15	83 116
103	15 16 24 32 63 68 108 149 227 267
17 28	114 156 161 268 269
77	90 124 125 130
15	60 108 124 270
85	95
7	8 15 49 147 189
16 25	48 130
1 15	46 48 58 80 85 86 88 130 131 256 271 272 273
38	41 46 133 274 275
25	73 124 130 131 171 209
6	16 67 77 78 112 120 162 169 171 191 276 277
4	15 38 44 45 49 76 80 89 101 103 203
6 104 105	15 24 52 118 278 279
0 55	15 32 33 46 81 83 87
48	15 18 41 59 61 90 108 116 211
53	27 78 81 119 120 216 280
6	38 49 78 89 101 219
86	40 60 83 153 165
1 43	76 100 102 133
15 70	15 17 41 75 78 83 117 119 121 216
6	17 24 30 69 118 119 120 121 164 191 216
1	95 192 281
4 5 50 95	15 38 41 71 85
8	147
15 21	15 41 116 118
61 106	84 116 189
8	15 25 38 59 89 101
14 17 24 68	15 16 17 24 30 32 38 71 87 89 101 116 187 191 202 277 282
13	28
99	15 41 85
27 68 90 107	15 24 27 28 32 68 87 116
30 104 108	15 18 78 83 108 111 116 147 219 223 278 279 283 284
27 109	22 33 35 75 77 78 83 87 90 108 111 184 193 227 258 285 286 287 288
84	15 25 38 45 49 67 71 74
1 24	32 33 73 124 171
6	8 41 67 78 111
15 40	85 118
36 58	289
111	15 17 41 101 108 202
52	15 17 38 66 80 85 86 248
17	48 49 50 56 58 60 67
7	8 15 38 46 100 102
27	27 160 247 290 291 292
53	0 19 21 40 48 50 54 60 95 124 125
21	83
15	15 27 41 64 75 77 116
6 17	15 24 25 30 32 33 54 68 80 87 156
11 21 38 63	24 27 83 85 116 118 119 135 156 208 233
81	11
53	48 60 175 243
111	169 171 200 293
46 48 68 83	32 67 78 94 108 113 115 120
53	40 153 186
6 18	180
112	0 8 25 38 45 103 138 234
112	15 41 45 48 57 107 174 211
113	8 19 60 130
49	0 2 6 7 15 17 44 54 80 101 294
66 68	38 67 76 89 161
74	41 67
59	78 88 133
25	16 73 83 157 206 296 297
44	16 32 41 54 61 68
44	195
1 104	28 41 71 83 89 101 119 216 295
113	12 15 16 23 32 38 44 80 101
0	8 38 67
34 68	15 17 41 46 54 59 61 71 89 101 113 115 178 180 181
54	60 144
89	285
0 56 76	15 32 54 61 94 116 133 298 299
17	15 95
55	6 33 130 302 303 304
27 114	16 33 67 73 101 103 108 171 243 305
45 83	12 83 108 110 160 202 262 300 301
16	60 73 100 102 171 192 243 281
12 43	306
104	100 102 206
1 21 55	0 15 24 28 33 37
53	15 41 51 68
0 1 36 99	15 16 27 32 41 45 68 83 85 89 108 116 136 227
115	16 41 52 53 91 116 137 189 210
8 16	33 101 307
34	124 125
21 29 35 70	83 92 118
108	143 186
0 55	0 2 6 8 15 32 33 38 44 54 80 94 148 298 299
13	15 39 40 48 50 60 63 67 90 91 98 119 122 130 172 175 180 181 202 213 233 239 308 309 310 311 312 313
44	8 9 10 16 37 38 54 315
79	36 148 256 318 319 320
0	27 32 90 160 184 227
15	15 27 41 45
70 76 117 119	32 61 83 116
6 15 120	15 41 75 83 116 118
7 15 57	15 39 48 50 96 124 321
1	23 93 100 102 112 295 322
46	16 180 181 198 323
7 52	6 8 15 24 38 39 50 54 58 67 68 69 80 120
99	15 16 41 45 57 89 251
59	8 24 27 28 38 69 116 133 135 156 208 218
32	8 9 10 16 38 66
1	13 15 17 38 80 87 100 102 150
6	8 9 16 30 41 51 89 101 189 219 221
15 121	15 169
30 64	15 27 41 116 118
0 10 11 12 21	16 17 81 101 234 317
32 79 122	34
6 27	16 18 26 52 57 66 83 91 149 174 185 227 283 285 326 327
36	15 25 40 71 94 143 173 186 213 328
42 103	16 41 63 106 149 185 227 238 329 330 331 332
9	249
74 82	2 8 24 78 84 116 150 156 198 207
42 85	59 83 94 107 148 165 203 333 334
9 16 67 89 123	8 19 50 60 130 264 335
1 37 65	15 37 38 46 58 80 90 100 102 150 153 183 198 240 272 325 336
4 5	15 24 28 30 108 118 119 164 186 187 216
1 37 78	6 12 15 37 67 88 94 164 252
8 17	8 49
20 46 50	6 38 48 50 60 67 75 80 124 130 160
54	73 75 206 243 255
67	28 51 54 99 173 186
7	15 17 56 67
30 60 66	24 75 77 78 83 87 94 118 187 337
6	16 32 180 181 202 239
32 78	7 15 37 51 89 251 275
124	9 15 130 242 243
36	16 54 61 71 94 108
17	8 13 24 67 69 78 85 127 274 321
1 12	0 3 5 6 7 8 24 38 39 48 50 58 60 67 71 78 80 83 88 96 103 124 130 153 165 186 232 247 338
5 107	8 15 64 68 85 118 223 239 339
44 69	11 27
7 24	2 8 9 10 12 15 16 17 18 24 38 41 44 45 54 61 80 94 133 135 218 298 340
7	0 5 6 8 15 17 46 67 76 80 101 103
54	8 15 16 24 25 27 38 41 68 71 78 84 116
14	27 66 69 86 116 158 197 291
20 50	6 10 38 47 148 175 341 342
1 42 54 99	15 88
34	15 16 27 41 71 78 89 101 112 116
74	24 38 67 69 75 78 118 120 206 223 244
7	1 39 40 49 127 153
5 50	15 16 64 68 69 71 85 116
41	15 83 100 102 116 118
56	54 76
68	6 16 42 56 59 61 68 77 137
6	27 41 80 81 84 116 160 247
1	39 41 51 85 95 149
5 21 44 99	15 16 41 57 89 107 135
6	41 73 75 92 125 171 318 343
6 15 16 32 52 57 125	8 48 60 124 194 344 345
44	15 24 28 30
43 126	135 346
20	45 109
16	168 192 243 311
1	51 83 85 95 96 165
44	83
63	41 67
80	24 27 113 115 116 120 195
54	16 24 38 68 85 116 136
17	67 144 307
6 123	47
83	12 15 45 71 107 180 234
54	48 50 60 88 140 206
6	15 18 30 51 77 80 83 116 118 337
59	2 15 17 38 44 76 150 179 180 181 348
127	349
6	171 350
14 83	15 24 32 64 180 181
128	13 33 40 92 124 258
19	15 16 27 45 51 89 251
34 64	15 16 41 45 68 89 116 211
129	17 69 78 84 119 120 124 191 207 216 271 351 352
32	152 230
1	22 23 37 86 87 100 102 127 353 354 355
28	15 16 54 89 90 111 118
130	17 28 30 51 78 89 114 120
17 51	15 38 41 49 71
0 6	38 54 89
99	17 27 41 71 85 100 102 116 120 142
1 22 37	6 15 23 27 29 80 85 86 100 102 110 183 240 245 272
0 4 12 15 17 80	24 27 28 30 33 78 80 81 84 85 88 116 135 150 197 207 218
85	15 24 27 39 41 81 116
6 24 28	15 41 77
0 5 11 83	10 15 27 38 57 85 211
52	19 50 60
15 24 107	2 13 80 87 100 102 240 356
1	12 37 41 85 100 102 205 357
7	8 11 38 44 57 58 67
99	33 35 73 81 94 96 143 153 167 358 359
131	38 44
15	15 27 30 41 51 75 78 81 83 85 116 117 119 121
25	9 33 60 95 124 157 206 297 360
54	39 40 49 60 83 96 127 153 165
1 53 132	6 15 39 40 48 51 54 60 83 85 95 127 144 153 165
6	15 16 32 54 61 68 87 99 160 185 187 189 283 361
112	15 67 180 181
103	16 52 68 75 78 81 87
42	9 10 12 15 24 27 41 45 57 68 89 116 211 250
52 125	6 15 27 44 67 84 88 139 153 228 241 306 337 362 363 364
6 104	15 75 78 83 117 119 121 187 280
25	8 9 16 38 67 73 140 171 305 311 365
80	160
53	8 21 48 60 83 124 127 158 164 165 206 221 243 264
81 104	15 24 64 75 77 78 83 87 94 187 337
125	34 175
24 70	16 27 41 83 111 117 118
36 117	15 16 37 38 41 90 118
1	96 366
18	16 27 33 41 52 106 137 151 210 261 369
24	16 18 27 30 41 57 83 90 111 116 118 135 142 156
80	10 15 16 32 38 76 89
55	6 15 32 33 90 186
64	23 43 65 66 100 102 166 256 295 347 366 370
105	8 27 30 156
77	51 177
58	33
50	83 100 102 146 180 181 192 206 324
13 104	15 17 32 33 37 80 153 204
65	48 204
21	15 18 24 41 108 116
77	280 306
